https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOGE,Volume USD
1627102800000,2021-07-24 05:00:00,DOGE/USD,0.19336,0.19399,0.19248,0.19362,163704.45578329,31696.456728760608
1627099200000,2021-07-24 04:00:00,DOGE/USD,0.19451,0.19486,0.19295,0.19336,326965.12532818,63221.97663345688
1627095600000,2021-07-24 03:00:00,DOGE/USD,0.19352,0.19464,0.19249,0.19451,201624.42282319,39217.966483338685
1627092000000,2021-07-24 02:00:00,DOGE/USD,0.1931,0.19443,0.19262,0.19352,122659.32001515,23737.03160933183
1627088400000,2021-07-24 01:00:00,DOGE/USD,0.19294,0.19345,0.19135,0.1931,601926.43121061,116231.99386676878
1627084800000,2021-07-24 00:00:00,DOGE/USD,0.19499,0.19545,0.19215,0.19294,428433.24322416,82661.90994766942
1627081200000,2021-07-23 23:00:00,DOGE/USD,0.19231,0.19511,0.19207,0.19499,253554.57407335,49440.606398562515
1627077600000,2021-07-23 22:00:00,DOGE/USD,0.18886,0.19268,0.18886,0.19231,430301.60647176,82751.30194058418
1627074000000,2021-07-23 21:00:00,DOGE/USD,0.18817,0.18915,0.18779,0.18886,296397.65690309,55977.66148271758
1627070400000,2021-07-23 20:00:00,DOGE/USD,0.18708,0.18922,0.18653,0.18817,289716.54635128,54515.96252692036
1627066800000,2021-07-23 19:00:00,DOGE/USD,0.1855,0.18731,0.18543,0.18708,76940.63481107,14394.053960454976
1627063200000,2021-07-23 18:00:00,DOGE/USD,0.18549,0.18712,0.18472,0.1855,384963.789092,71410.782876566
1627059600000,2021-07-23 17:00:00,DOGE/USD,0.18555,0.18566,0.18384,0.18549,530525.1136897,98407.10333830245
1627056000000,2021-07-23 16:00:00,DOGE/USD,0.1889,0.18904,0.18334,0.18555,978677.76810954,181593.65987272514
1627052400000,2021-07-23 15:00:00,DOGE/USD,0.19143,0.19154,0.18813,0.1889,370901.911638,70063.3711084182
1627048800000,2021-07-23 14:00:00,DOGE/USD,0.19282,0.19292,0.19101,0.19143,256212.02699887,49046.66832839368
1627045200000,2021-07-23 13:00:00,DOGE/USD,0.19225,0.19336,0.19163,0.19282,160146.49810372,30879.447764359287
1627041600000,2021-07-23 12:00:00,DOGE/USD,0.19085,0.19247,0.19037,0.19225,117052.65164904,22503.37227952794
1627038000000,2021-07-23 11:00:00,DOGE/USD,0.19081,0.19248,0.19081,0.19085,82812.250514,15804.7180105969
1627034400000,2021-07-23 10:00:00,DOGE/USD,0.19148,0.19148,0.18995,0.19081,115752.245285,22086.68592283085
1627030800000,2021-07-23 09:00:00,DOGE/USD,0.1906,0.19238,0.18998,0.19148,161228.982681,30872.125603757882
1627027200000,2021-07-23 08:00:00,DOGE/USD,0.19441,0.19441,0.1906,0.1906,776796.32030758,148057.37865062474
1627023600000,2021-07-23 07:00:00,DOGE/USD,0.19547,0.19547,0.19253,0.19441,249025.95664327,48413.13623101812
1627020000000,2021-07-23 06:00:00,DOGE/USD,0.19621,0.19637,0.19507,0.19547,212823.554116,41600.62012305453
1627016400000,2021-07-23 05:00:00,DOGE/USD,0.19497,0.1994,0.19497,0.19621,1007610.39865283,197703.2363196718
1627012800000,2021-07-23 04:00:00,DOGE/USD,0.19217,0.19497,0.19193,0.19497,110075.419758,21461.404590217262
1627009200000,2021-07-23 03:00:00,DOGE/USD,0.19318,0.19337,0.19186,0.19217,218085.74049489,41909.53675090301
1627005600000,2021-07-23 02:00:00,DOGE/USD,0.19418,0.19425,0.1923,0.19318,290775.97253272,56172.102373870846
1627002000000,2021-07-23 01:00:00,DOGE/USD,0.19127,0.19418,0.19114,0.19418,819048.97450123,159042.92986864885
1626998400000,2021-07-23 00:00:00,DOGE/USD,0.19111,0.19194,0.18964,0.19127,764542.68794334,146234.07992292265
1626994800000,2021-07-22 23:00:00,DOGE/USD,0.19,0.19196,0.18966,0.19111,129735.02599287,24793.660817497384
1626991200000,2021-07-22 22:00:00,DOGE/USD,0.1896,0.19074,0.1896,0.19,272358.973515,51748.204967850004
1626987600000,2021-07-22 21:00:00,DOGE/USD,0.19089,0.19245,0.18956,0.1896,224148.83787828,42498.61966172189
1626984000000,2021-07-22 20:00:00,DOGE/USD,0.19166,0.19166,0.19063,0.19089,337782.434109,64479.288847067015
1626980400000,2021-07-22 19:00:00,DOGE/USD,0.19159,0.19207,0.19078,0.19166,579463.37574834,111059.95059592686
1626976800000,2021-07-22 18:00:00,DOGE/USD,0.19282,0.19324,0.19027,0.19159,177936.84045462,34090.91926270065
1626973200000,2021-07-22 17:00:00,DOGE/USD,0.19264,0.19383,0.19229,0.19282,174830.62681956,33710.84146334756
1626969600000,2021-07-22 16:00:00,DOGE/USD,0.19421,0.19514,0.19141,0.19264,287459.4414231,55376.18679574599
1626966000000,2021-07-22 15:00:00,DOGE/USD,0.19125,0.19448,0.19044,0.19421,571756.844078,111040.89668838838
1626962400000,2021-07-22 14:00:00,DOGE/USD,0.19025,0.19128,0.18913,0.19125,318647.2584155,60941.28817196438
1626958800000,2021-07-22 13:00:00,DOGE/USD,0.19179,0.19267,0.1898,0.19025,188267.9675012,35817.9808171033
1626955200000,2021-07-22 12:00:00,DOGE/USD,0.1903,0.19196,0.18704,0.19179,442086.629552,84787.79468177808
1626951600000,2021-07-22 11:00:00,DOGE/USD,0.19051,0.19084,0.18913,0.1903,83267.777225,15845.8580059175
1626948000000,2021-07-22 10:00:00,DOGE/USD,0.18962,0.19143,0.18914,0.19051,79608.264992,15166.170563625921
1626944400000,2021-07-22 09:00:00,DOGE/USD,0.19353,0.19373,0.18833,0.18962,170440.258682,32318.881851280843
1626940800000,2021-07-22 08:00:00,DOGE/USD,0.19218,0.19454,0.19147,0.19353,150911.22213405,29205.8488196027
1626937200000,2021-07-22 07:00:00,DOGE/USD,0.1925,0.19516,0.19133,0.19218,242116.3590073,46529.92187402291
1626933600000,2021-07-22 06:00:00,DOGE/USD,0.18918,0.19251,0.18868,0.1925,242749.43030888,46729.2653344594
1626930000000,2021-07-22 05:00:00,DOGE/USD,0.19177,0.19267,0.18832,0.18918,170910.38884168,32332.82736106902
1626926400000,2021-07-22 04:00:00,DOGE/USD,0.19014,0.19453,0.18968,0.19177,665658.08852444,127653.25163633184
1626922800000,2021-07-22 03:00:00,DOGE/USD,0.18687,0.19023,0.18687,0.19014,284066.737414,54012.449451897955
1626919200000,2021-07-22 02:00:00,DOGE/USD,0.18881,0.18881,0.18653,0.18687,501599.68063311,93733.93231990928
1626915600000,2021-07-22 01:00:00,DOGE/USD,0.19003,0.19089,0.18726,0.18881,408328.99340671,77096.59724512091
1626912000000,2021-07-22 00:00:00,DOGE/USD,0.19062,0.19661,0.18849,0.19003,1532545.65076905,291229.6500156426
1626908400000,2021-07-21 23:00:00,DOGE/USD,0.19143,0.1915,0.18805,0.19062,604428.457908,115216.15264642297
1626904800000,2021-07-21 22:00:00,DOGE/USD,0.18848,0.19247,0.18817,0.19143,894245.41541896,171185.3998736515
1626901200000,2021-07-21 21:00:00,DOGE/USD,0.18879,0.18885,0.18485,0.18848,685351.347939,129175.02205954272
1626897600000,2021-07-21 20:00:00,DOGE/USD,0.18829,0.19062,0.1866,0.18879,1020779.63203282,192712.9867314761
1626894000000,2021-07-21 19:00:00,DOGE/USD,0.18871,0.19256,0.18416,0.18829,2055369.51876089,387005.526687488
1626890400000,2021-07-21 18:00:00,DOGE/USD,0.20252,0.20833,0.18733,0.18871,5260284.16721552,992668.2251952407
1626886800000,2021-07-21 17:00:00,DOGE/USD,0.20354,0.20383,0.19682,0.20252,4605005.57024957,932605.7280869428
1626883200000,2021-07-21 16:00:00,DOGE/USD,0.20132,0.21432,0.19844,0.20354,4985780.92806063,1014805.8500974607
1626879600000,2021-07-21 15:00:00,DOGE/USD,0.19462,0.20183,0.19343,0.20132,3072301.95636124,618515.8298546448
