https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume APE,Volume USD
1650715200000,2022-04-23 12:00:00,APE/USD,16.956,16.996,16.468,16.584,11109.697182,184243.21806628798
1650711600000,2022-04-23 11:00:00,APE/USD,16.87,17.138,16.634,16.956,13781.66518,233681.91479208
1650708000000,2022-04-23 10:00:00,APE/USD,16.465,16.942,16.385,16.87,13591.602481,229290.33385447002
1650704400000,2022-04-23 09:00:00,APE/USD,16.614,16.614,16.206,16.465,9601.272048,158084.94427032
1650700800000,2022-04-23 08:00:00,APE/USD,16.657,16.691,16.33,16.614,8430.360595,140062.01092533002
1650697200000,2022-04-23 07:00:00,APE/USD,16.56,16.834,16.43,16.657,15936.855135,265460.195983695
1650693600000,2022-04-23 06:00:00,APE/USD,16.755,16.925,16.277,16.56,27915.157112,462275.00177472
1650690000000,2022-04-23 05:00:00,APE/USD,16.811,17.184,16.66,16.755,20939.618806,350843.31309452996
1650686400000,2022-04-23 04:00:00,APE/USD,16.535,16.86,16.308,16.811,26023.782512,437485.80780923204
1650682800000,2022-04-23 03:00:00,APE/USD,15.934,16.642,15.892,16.535,26145.980106,432323.78105270996
1650679200000,2022-04-23 02:00:00,APE/USD,15.912,16.057,15.686,15.934,31129.935062,496024.385277908
1650675600000,2022-04-23 01:00:00,APE/USD,15.656,16.014,15.529,15.912,27202.301674,432843.024236688
1650672000000,2022-04-23 00:00:00,APE/USD,15.397,15.704,15.184,15.656,14086.012951,220530.618760856
1650668400000,2022-04-22 23:00:00,APE/USD,14.89,15.451,14.849,15.397,7353.325005,113219.14510198499
1650664800000,2022-04-22 22:00:00,APE/USD,15.169,15.321,14.89,14.89,6985.31436,104011.3308204
1650661200000,2022-04-22 21:00:00,APE/USD,15.084,15.379,14.909,15.169,8540.877689,129556.57366444102
1650657600000,2022-04-22 20:00:00,APE/USD,14.994,15.168,14.729,15.084,7350.481037,110874.655962108
1650654000000,2022-04-22 19:00:00,APE/USD,14.489,14.997,14.387,14.994,18709.356113,280528.085558322
1650650400000,2022-04-22 18:00:00,APE/USD,14.49,14.557,14.323,14.489,13254.025111,192037.56983327903
1650646800000,2022-04-22 17:00:00,APE/USD,14.799,14.978,14.483,14.49,9208.085824,133425.16358976
1650643200000,2022-04-22 16:00:00,APE/USD,14.401,15.315,14.299,14.799,21370.140034,316256.70236316597
1650639600000,2022-04-22 15:00:00,APE/USD,13.938,14.483,13.814,14.401,20174.170916,290528.235361316
1650636000000,2022-04-22 14:00:00,APE/USD,14.124,14.27,13.848,13.938,4869.90383,67876.71958254001
1650632400000,2022-04-22 13:00:00,APE/USD,14.332,14.38,14.079,14.124,2895.598836,40897.43795966401
