https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ENS,Volume USD
1646604000000,2022-03-06 22:00:00,ENS/USD,14.356,14.419,14.356,14.419,2.842416,40.984796304
1646600400000,2022-03-06 21:00:00,ENS/USD,14.268,14.356,14.21,14.356,4.646441,66.704306996
1646596800000,2022-03-06 20:00:00,ENS/USD,14.273,14.284,14.162,14.268,82.572227,1178.140534836
1646593200000,2022-03-06 19:00:00,ENS/USD,14.616,14.616,14.273,14.273,76.797029,1096.123994917
1646589600000,2022-03-06 18:00:00,ENS/USD,14.525,14.616,14.494,14.616,3.303649,48.286133784
1646586000000,2022-03-06 17:00:00,ENS/USD,14.753,14.753,14.525,14.525,9.795417,142.278431925
1646582400000,2022-03-06 16:00:00,ENS/USD,14.55,14.753,14.504,14.753,0.522,7.701066
1646578800000,2022-03-06 15:00:00,ENS/USD,14.166,14.55,14.166,14.55,100.022,1455.3201000000001
1646575200000,2022-03-06 14:00:00,ENS/USD,14.166,14.166,14.166,14.166,0.002,0.028332000000000003
1646571600000,2022-03-06 13:00:00,ENS/USD,14.166,14.166,14.166,14.166,1.997915,28.302463890000002
1646568000000,2022-03-06 12:00:00,ENS/USD,14.535,14.535,14.166,14.166,0.002,0.028332000000000003
1646564400000,2022-03-06 11:00:00,ENS/USD,14.654,14.654,14.231,14.535,1.108362,16.11004167
1646560800000,2022-03-06 10:00:00,ENS/USD,15.569,15.569,14.654,14.654,48.81236,715.2963234399999
1646557200000,2022-03-06 09:00:00,ENS/USD,15.858,15.858,15.569,15.569,0.011,0.171259
1646553600000,2022-03-06 08:00:00,ENS/USD,16.323,16.323,15.858,15.858,0.009,0.142722
1646550000000,2022-03-06 07:00:00,ENS/USD,15.629,16.323,15.629,16.323,1.304209,21.288603507
1646546400000,2022-03-06 06:00:00,ENS/USD,15.547,15.826,15.547,15.629,85.905979,1342.624545791
1646542800000,2022-03-06 05:00:00,ENS/USD,15.856,15.856,15.547,15.547,44.903139,698.1091020330001
1646539200000,2022-03-06 04:00:00,ENS/USD,15.856,15.908,15.478,15.856,27.820154,441.11636182399997
1646535600000,2022-03-06 03:00:00,ENS/USD,15.796,15.976,15.796,15.856,25.036246,396.974716576
1646532000000,2022-03-06 02:00:00,ENS/USD,15.458,15.796,15.253,15.796,9.100841,143.756884436
1646528400000,2022-03-06 01:00:00,ENS/USD,15.362,15.714,15.362,15.458,90.890971,1404.992629718
1646524800000,2022-03-06 00:00:00,ENS/USD,14.867,15.48,14.762,15.362,88.295156,1356.390186472
1646521200000,2022-03-05 23:00:00,ENS/USD,14.942,14.999,14.867,14.867,20.397599,303.251104333
1646517600000,2022-03-05 22:00:00,ENS/USD,15.079,15.079,14.867,14.942,35.965867,537.401984714
1646514000000,2022-03-05 21:00:00,ENS/USD,15.03,15.145,15.03,15.079,40.724468,614.0842529720001
1646510400000,2022-03-05 20:00:00,ENS/USD,14.86,15.03,14.785,15.03,1.499895,22.543421849999998
1646506800000,2022-03-05 19:00:00,ENS/USD,15.026,15.026,14.86,14.86,0.969197,14.40226742
1646503200000,2022-03-05 18:00:00,ENS/USD,15.104,15.104,14.792,15.026,23.653947,355.424207622
1646499600000,2022-03-05 17:00:00,ENS/USD,15.315,15.315,15.104,15.104,1.678078,25.345690112
1646496000000,2022-03-05 16:00:00,ENS/USD,15.038,15.315,15.038,15.315,119.361066,1828.0147257899998
1646492400000,2022-03-05 15:00:00,ENS/USD,15.282,15.282,15.029,15.038,44.652096,671.478219648
1646488800000,2022-03-05 14:00:00,ENS/USD,14.66,15.282,14.597,15.282,49.553387,757.274860134
1646485200000,2022-03-05 13:00:00,ENS/USD,15.009,15.009,14.66,14.66,9.594124,140.64985784
