https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTCG,Volume USD
1649271600000,2022-04-06 19:00:00,BTCG/USD,43827.97,43827.97,43626.46,43779.88,0.02962093,1296.8007608884
1649268000000,2022-04-06 18:00:00,BTCG/USD,43834.57,44171.19,43282.0,43827.97,0.86904363,38088.4181443311
1649264400000,2022-04-06 17:00:00,BTCG/USD,43803.78,43940.97,43473.64,43834.57,0.59439835,26055.196080959497
1649260800000,2022-04-06 16:00:00,BTCG/USD,44342.75,44342.75,43645.49,43803.78,0.48959527,21446.1234961206
1649257200000,2022-04-06 15:00:00,BTCG/USD,44342.75,44342.75,44342.75,44342.75,0.0,0.0
1649253600000,2022-04-06 14:00:00,BTCG/USD,44444.0,44444.0,43874.18,44342.75,2.67732513,118719.9589083075
1649250000000,2022-04-06 13:00:00,BTCG/USD,44738.94,44981.74,44444.0,44444.0,0.02353771,1046.10998324
1649246400000,2022-04-06 12:00:00,BTCG/USD,44884.34,45038.86,44720.0,44738.94,0.60094969,26885.852123928602
1649242800000,2022-04-06 11:00:00,BTCG/USD,45128.19,45128.19,44777.0,44884.34,0.13970182,6270.4239874988
1649239200000,2022-04-06 10:00:00,BTCG/USD,45387.45,45387.45,45027.26,45128.19,0.16527862,7458.7249662978
1649235600000,2022-04-06 09:00:00,BTCG/USD,45387.45,45387.45,45387.45,45387.45,0.0,0.0
1649232000000,2022-04-06 08:00:00,BTCG/USD,45296.77,45387.45,45296.77,45387.45,0.02159625,980.1987170625
1649228400000,2022-04-06 07:00:00,BTCG/USD,45490.0,45522.71,45296.77,45296.77,0.00794452,359.8610952004
1649224800000,2022-04-06 06:00:00,BTCG/USD,45340.23,45490.0,45288.61,45490.0,0.01466071,666.9156979
1649221200000,2022-04-06 05:00:00,BTCG/USD,45329.88,45429.6,45322.26,45340.23,0.01317614,597.4092181122
1649217600000,2022-04-06 04:00:00,BTCG/USD,45266.81,45373.05,45239.01,45329.88,0.06588057,2986.3583324315996
1649214000000,2022-04-06 03:00:00,BTCG/USD,45327.38,45327.38,45262.88,45266.81,0.01889775,855.4408586775
1649210400000,2022-04-06 02:00:00,BTCG/USD,45199.77,45327.38,45199.77,45327.38,0.04000013,1813.1010925594
1649206800000,2022-04-06 01:00:00,BTCG/USD,44976.42,45324.77,44976.42,45199.77,0.4023884,18187.863130667996
1649203200000,2022-04-06 00:00:00,BTCG/USD,45522.72,45522.72,44587.0,44976.42,1.12010754,50378.4271642068
1649199600000,2022-04-05 23:00:00,BTCG/USD,45916.2,45916.2,45522.72,45522.72,0.31077632,14147.3833979904
1649196000000,2022-04-05 22:00:00,BTCG/USD,45972.46,46011.8,45899.18,45916.2,0.73532135,33763.16217087
