https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MPL,Volume USD
1647720000000,2022-03-19 20:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647716400000,2022-03-19 19:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647712800000,2022-03-19 18:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647709200000,2022-03-19 17:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647705600000,2022-03-19 16:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647702000000,2022-03-19 15:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647698400000,2022-03-19 14:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647694800000,2022-03-19 13:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647691200000,2022-03-19 12:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647687600000,2022-03-19 11:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647684000000,2022-03-19 10:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647680400000,2022-03-19 09:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647676800000,2022-03-19 08:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647673200000,2022-03-19 07:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647669600000,2022-03-19 06:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647666000000,2022-03-19 05:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647662400000,2022-03-19 04:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647658800000,2022-03-19 03:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647655200000,2022-03-19 02:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647651600000,2022-03-19 01:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647648000000,2022-03-19 00:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647644400000,2022-03-18 23:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647640800000,2022-03-18 22:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647637200000,2022-03-18 21:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647633600000,2022-03-18 20:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647630000000,2022-03-18 19:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647626400000,2022-03-18 18:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647622800000,2022-03-18 17:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647619200000,2022-03-18 16:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647615600000,2022-03-18 15:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647612000000,2022-03-18 14:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647608400000,2022-03-18 13:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647604800000,2022-03-18 12:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647601200000,2022-03-18 11:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647597600000,2022-03-18 10:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647594000000,2022-03-18 09:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647590400000,2022-03-18 08:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647586800000,2022-03-18 07:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
1647583200000,2022-03-18 06:00:00,MPL/USD,0.0,0.0,0.0,0.0,0.0,0.0
