unix,date,symbol,open,high,low,close,Volume XRP,Volume USD,just_date
1651568460,2022-05-03 09:01:00,XRP/USD,0.61665,0.61665,0.61665,0.61665,0.0,0.0,2022-05-03
1651568400,2022-05-03 09:00:00,XRP/USD,0.61596,0.61665,0.61596,0.61665,13010.0,8022.6165,2022-05-03
1651568340,2022-05-03 08:59:00,XRP/USD,0.61528,0.61528,0.61528,0.61528,0.0,0.0,2022-05-03
1651568280,2022-05-03 08:58:00,XRP/USD,0.61528,0.61528,0.61528,0.61528,0.0,0.0,2022-05-03
1651568220,2022-05-03 08:57:00,XRP/USD,0.61547,0.61547,0.61528,0.61528,8240.62799,5070.293589687201,2022-05-03
1651568160,2022-05-03 08:56:00,XRP/USD,0.6153,0.61557,0.61529,0.61557,10530.2708093,6482.1188020808,2022-05-03
1651568100,2022-05-03 08:55:00,XRP/USD,0.61516,0.6153,0.61461,0.6153,24410.96717193,15020.068100888528,2022-05-03
1651568040,2022-05-03 08:54:00,XRP/USD,0.61505,0.61523,0.61483,0.61484,19967.13873608,12276.595580491428,2022-05-03
1651567980,2022-05-03 08:53:00,XRP/USD,0.61536,0.61559,0.6151,0.61546,21102.65369778,12987.83924483568,2022-05-03
1651567920,2022-05-03 08:52:00,XRP/USD,0.61556,0.61556,0.61521,0.61535,127938.25596117,78726.80580570595,2022-05-03
1651567860,2022-05-03 08:51:00,XRP/USD,0.61599,0.616,0.61555,0.61556,27771.36868586,17094.943708267983,2022-05-03
1651567800,2022-05-03 08:50:00,XRP/USD,0.61582,0.61607,0.61535,0.61606,55235.08673754,34028.127535528896,2022-05-03
1651567740,2022-05-03 08:49:00,XRP/USD,0.61601,0.61601,0.61538,0.61547,11093.60158068,6827.77896486112,2022-05-03
1651567680,2022-05-03 08:48:00,XRP/USD,0.61686,0.61686,0.61628,0.61628,2578.6808198,1589.189415626344,2022-05-03
1651567620,2022-05-03 08:47:00,XRP/USD,0.6168,0.61705,0.61653,0.61653,21554.00689824,13288.691872971907,2022-05-03
1651567560,2022-05-03 08:46:00,XRP/USD,0.61731,0.61755,0.61681,0.61681,76580.69635936,47235.73932141683,2022-05-03
1651567500,2022-05-03 08:45:00,XRP/USD,0.61799,0.61799,0.61731,0.61755,25416.77404,15696.128808402002,2022-05-03
1651567440,2022-05-03 08:44:00,XRP/USD,0.61756,0.61792,0.61736,0.61747,18574.26258398,11469.049917730128,2022-05-03
1651567380,2022-05-03 08:43:00,XRP/USD,0.61859,0.61859,0.61796,0.61796,32263.89540667,19937.79680550579,2022-05-03
1651567320,2022-05-03 08:42:00,XRP/USD,0.61854,0.61859,0.61851,0.61859,3679.0,2275.79261,2022-05-03
1651567260,2022-05-03 08:41:00,XRP/USD,0.61915,0.61915,0.61863,0.61863,14432.81583844,8928.572862134137,2022-05-03
1651567200,2022-05-03 08:40:00,XRP/USD,0.6192,0.61923,0.61889,0.61921,8126.1839,5031.814332719,2022-05-03
1651567140,2022-05-03 08:39:00,XRP/USD,0.61972,0.61972,0.61913,0.61913,6381.25704685,3950.82767541624,2022-05-03
1651567080,2022-05-03 08:38:00,XRP/USD,0.62023,0.62023,0.62007,0.62007,2565.45332959,1590.760646078871,2022-05-03
1651567020,2022-05-03 08:37:00,XRP/USD,0.62042,0.62042,0.62042,0.62042,6603.26301978,4096.796442731908,2022-05-03
1651566960,2022-05-03 08:36:00,XRP/USD,0.6201,0.6201,0.62009,0.62009,3229.0,2002.27061,2022-05-03
1651566900,2022-05-03 08:35:00,XRP/USD,0.6201,0.6201,0.62007,0.62007,3229.0,2002.20603,2022-05-03
1651566840,2022-05-03 08:34:00,XRP/USD,0.61983,0.62041,0.61983,0.62041,3634.00277,2254.5716585357,2022-05-03
1651566780,2022-05-03 08:33:00,XRP/USD,0.62087,0.62087,0.62087,0.62087,297.71,184.8392077,2022-05-03
1651566720,2022-05-03 08:32:00,XRP/USD,0.62107,0.62107,0.62107,0.62107,400.0,248.428,2022-05-03
1651566660,2022-05-03 08:31:00,XRP/USD,0.62073,0.62074,0.62073,0.62074,10495.6,6515.038744,2022-05-03
1651566600,2022-05-03 08:30:00,XRP/USD,0.62086,0.62086,0.6206,0.6206,61487.33059405,38159.03736666744,2022-05-03
1651566540,2022-05-03 08:29:00,XRP/USD,0.621,0.621,0.621,0.621,0.0,0.0,2022-05-03
1651566480,2022-05-03 08:28:00,XRP/USD,0.621,0.621,0.621,0.621,100.0,62.1,2022-05-03
1651566420,2022-05-03 08:27:00,XRP/USD,0.6206,0.6206,0.6206,0.6206,0.0,0.0,2022-05-03
1651566360,2022-05-03 08:26:00,XRP/USD,0.62083,0.62101,0.6206,0.6206,11268.65072343,6993.324638960659,2022-05-03
1651566300,2022-05-03 08:25:00,XRP/USD,0.62053,0.62053,0.62053,0.62053,598.03982563,371.1016529981839,2022-05-03
1651566240,2022-05-03 08:24:00,XRP/USD,0.62011,0.62054,0.62011,0.62054,2600.16475485,1613.506236974619,2022-05-03
1651566180,2022-05-03 08:23:00,XRP/USD,0.62046,0.62046,0.62046,0.62046,435.09686361,269.96019999546064,2022-05-03
1651566120,2022-05-03 08:22:00,XRP/USD,0.61976,0.61976,0.61976,0.61976,0.0,0.0,2022-05-03
1651566060,2022-05-03 08:21:00,XRP/USD,0.61976,0.61976,0.61976,0.61976,0.0,0.0,2022-05-03
1651566000,2022-05-03 08:20:00,XRP/USD,0.61942,0.61976,0.61935,0.61976,3966.82932151,2458.482140299038,2022-05-03
1651565940,2022-05-03 08:19:00,XRP/USD,0.61967,0.61971,0.61967,0.61971,16249.0,10069.66779,2022-05-03
1651565880,2022-05-03 08:18:00,XRP/USD,0.61948,0.61948,0.61945,0.61945,2758.0607748,1708.48074694986,2022-05-03
