unix,date,symbol,open,high,low,close,Volume LTC,Volume USD,just_date
1651437060,2022-05-01 20:31:00,LTC/USD,97.67,97.67,97.67,97.67,0.0,0.0,2022-05-01
1651437000,2022-05-01 20:30:00,LTC/USD,97.67,97.67,97.67,97.67,0.0,0.0,2022-05-01
1651436940,2022-05-01 20:29:00,LTC/USD,97.67,97.67,97.67,97.67,0.0,0.0,2022-05-01
1651436880,2022-05-01 20:28:00,LTC/USD,97.67,97.67,97.67,97.67,0.0,0.0,2022-05-01
1651436820,2022-05-01 20:27:00,LTC/USD,97.67,97.67,97.67,97.67,0.0,0.0,2022-05-01
1651436760,2022-05-01 20:26:00,LTC/USD,97.67,97.67,97.67,97.67,0.0,0.0,2022-05-01
1651436700,2022-05-01 20:25:00,LTC/USD,97.67,97.67,97.67,97.67,0.0,0.0,2022-05-01
1651436640,2022-05-01 20:24:00,LTC/USD,97.67,97.67,97.67,97.67,0.0,0.0,2022-05-01
1651436580,2022-05-01 20:23:00,LTC/USD,97.67,97.67,97.67,97.67,0.0,0.0,2022-05-01
1651436520,2022-05-01 20:22:00,LTC/USD,97.67,97.67,97.67,97.67,0.0,0.0,2022-05-01
1651436460,2022-05-01 20:21:00,LTC/USD,97.67,97.67,97.67,97.67,0.0,0.0,2022-05-01
1651436400,2022-05-01 20:20:00,LTC/USD,97.67,97.67,97.67,97.67,0.0,0.0,2022-05-01
1651436340,2022-05-01 20:19:00,LTC/USD,97.67,97.67,97.67,97.67,0.0,0.0,2022-05-01
1651436280,2022-05-01 20:18:00,LTC/USD,97.67,97.67,97.67,97.67,0.0,0.0,2022-05-01
1651436220,2022-05-01 20:17:00,LTC/USD,97.67,97.67,97.67,97.67,0.0,0.0,2022-05-01
1651436160,2022-05-01 20:16:00,LTC/USD,97.67,97.67,97.67,97.67,0.0,0.0,2022-05-01
1651436100,2022-05-01 20:15:00,LTC/USD,97.67,97.67,97.67,97.67,0.0,0.0,2022-05-01
1651436040,2022-05-01 20:14:00,LTC/USD,97.67,97.67,97.67,97.67,0.0,0.0,2022-05-01
1651435980,2022-05-01 20:13:00,LTC/USD,97.67,97.67,97.67,97.67,0.0,0.0,2022-05-01
1651435920,2022-05-01 20:12:00,LTC/USD,97.67,97.67,97.67,97.67,0.0,0.0,2022-05-01
1651435860,2022-05-01 20:11:00,LTC/USD,97.67,97.67,97.67,97.67,0.0,0.0,2022-05-01
1651435800,2022-05-01 20:10:00,LTC/USD,97.67,97.67,97.67,97.67,11.64222305,1137.0959252935,2022-05-01
1651435740,2022-05-01 20:09:00,LTC/USD,97.67,97.67,97.67,97.67,1.04320671,101.8899993657,2022-05-01
1651435680,2022-05-01 20:08:00,LTC/USD,97.68,97.68,97.67,97.67,57.5848811,5624.315337037,2022-05-01
1651435620,2022-05-01 20:07:00,LTC/USD,97.55,97.55,97.55,97.55,0.0,0.0,2022-05-01
1651435560,2022-05-01 20:06:00,LTC/USD,97.55,97.55,97.55,97.55,0.0,0.0,2022-05-01
1651435500,2022-05-01 20:05:00,LTC/USD,97.55,97.55,97.55,97.55,0.0,0.0,2022-05-01
1651435440,2022-05-01 20:04:00,LTC/USD,97.55,97.55,97.55,97.55,0.0,0.0,2022-05-01
1651435380,2022-05-01 20:03:00,LTC/USD,97.55,97.55,97.55,97.55,0.0,0.0,2022-05-01
1651435320,2022-05-01 20:02:00,LTC/USD,97.55,97.55,97.55,97.55,0.0,0.0,2022-05-01
1651435260,2022-05-01 20:01:00,LTC/USD,97.55,97.55,97.55,97.55,56.23047031,5485.2823787405,2022-05-01
1651435200,2022-05-01 20:00:00,LTC/USD,97.58,97.58,97.58,97.58,0.0,0.0,2022-05-01
1651435140,2022-05-01 19:59:00,LTC/USD,97.58,97.58,97.58,97.58,0.0,0.0,2022-05-01
1651435080,2022-05-01 19:58:00,LTC/USD,97.58,97.58,97.58,97.58,7.41845979,723.8933063082,2022-05-01
1651435020,2022-05-01 19:57:00,LTC/USD,97.6,97.6,97.6,97.6,56.20166371,5485.282378096,2022-05-01
1651434960,2022-05-01 19:56:00,LTC/USD,97.62,97.62,97.62,97.62,0.0,0.0,2022-05-01
