unix,date,symbol,open,high,low,close,Volume BTC,Volume USD,just_date
1651252800,2022-04-29 17:20:00,BTC/USD,38608.88,38627.53,38601.7,38627.53,2.06712098,79847.7776685794,2022-04-29
1651252740,2022-04-29 17:19:00,BTC/USD,38620.68,38646.07,38612.65,38625.69,5.62353391,217212.8775121479,2022-04-29
1651252680,2022-04-29 17:18:00,BTC/USD,38585.79,38621.71,38570.49,38618.4,6.14177571,237185.55107906403,2022-04-29
1651252620,2022-04-29 17:17:00,BTC/USD,38595.26,38635.19,38581.77,38581.77,0.20861068,8048.569275303599,2022-04-29
1651252560,2022-04-29 17:16:00,BTC/USD,38625.31,38625.93,38566.77,38615.19,0.30223278,11670.7762239282,2022-04-29
1651252500,2022-04-29 17:15:00,BTC/USD,38600.63,38637.69,38600.63,38629.23,0.57420452,22181.078470119603,2022-04-29
1651252440,2022-04-29 17:14:00,BTC/USD,38598.58,38608.1,38576.74,38608.1,0.05612741,2166.972658021,2022-04-29
1651252380,2022-04-29 17:13:00,BTC/USD,38596.13,38617.93,38583.52,38590.84,0.07564102,2919.0505002568,2022-04-29
1651252320,2022-04-29 17:12:00,BTC/USD,38567.2,38625.81,38567.2,38596.22,0.06925,2672.7882350000004,2022-04-29
1651252260,2022-04-29 17:11:00,BTC/USD,38595.02,38595.02,38558.16,38571.65,0.03926751,1514.6126520915,2022-04-29
1651252200,2022-04-29 17:10:00,BTC/USD,38586.74,38586.74,38549.62,38576.48,0.06870433,2650.3712121584,2022-04-29
1651252140,2022-04-29 17:09:00,BTC/USD,38586.42,38612.74,38576.71,38582.17,0.02120356,818.0793565252,2022-04-29
1651252080,2022-04-29 17:08:00,BTC/USD,38577.78,38588.06,38563.44,38588.06,0.01591073,613.9642038838,2022-04-29
1651252020,2022-04-29 17:07:00,BTC/USD,38594.46,38606.47,38574.96,38603.71,0.05349128,2064.9618606488,2022-04-29
1651251960,2022-04-29 17:06:00,BTC/USD,38589.82,38634.99,38585.62,38604.94,0.13176693,5086.8544266342005,2022-04-29
1651251900,2022-04-29 17:05:00,BTC/USD,38631.94,38638.15,38555.63,38555.66,2.74468716,105823.2249473256,2022-04-29
1651251840,2022-04-29 17:04:00,BTC/USD,38650.52,38650.52,38600.74,38649.73,1.02552735,39636.3551851155,2022-04-29
1651251780,2022-04-29 17:03:00,BTC/USD,38620.23,38660.11,38592.28,38660.11,0.05035918,1946.8914383098,2022-04-29
1651251720,2022-04-29 17:02:00,BTC/USD,38600.42,38628.75,38573.07,38577.58,14.10369405,544086.385509399,2022-04-29
1651251660,2022-04-29 17:01:00,BTC/USD,38589.06,38595.82,38565.38,38595.82,0.05777457,2229.8569042974,2022-04-29
1651251600,2022-04-29 17:00:00,BTC/USD,38502.67,38600.54,38502.67,38574.46,0.10600038,4088.9074182948,2022-04-29
1651251540,2022-04-29 16:59:00,BTC/USD,38506.74,38524.64,38497.14,38517.91,0.03114056,1199.4692874296002,2022-04-29
1651251480,2022-04-29 16:58:00,BTC/USD,38468.32,38507.21,38463.68,38498.0,0.21874027,8421.062914459999,2022-04-29
1651251420,2022-04-29 16:57:00,BTC/USD,38462.45,38494.32,38441.55,38461.19,0.3520661,13540.881164659,2022-04-29
1651251360,2022-04-29 16:56:00,BTC/USD,38509.24,38520.58,38448.16,38483.11,3.97860209,153108.9818756999,2022-04-29
1651251300,2022-04-29 16:55:00,BTC/USD,38529.1,38546.81,38512.14,38517.34,0.20319711,7826.612172887399,2022-04-29
1651251240,2022-04-29 16:54:00,BTC/USD,38485.27,38534.7,38477.8,38529.1,1.10569059,42601.263311169,2022-04-29
1651251180,2022-04-29 16:53:00,BTC/USD,38531.97,38574.82,38500.0,38513.49,0.11806395,4547.0547576855,2022-04-29
1651251120,2022-04-29 16:52:00,BTC/USD,38604.58,38617.71,38537.48,38537.48,0.04959764,1911.3680595472,2022-04-29
1651251060,2022-04-29 16:51:00,BTC/USD,38618.8,38618.8,38573.72,38584.29,0.08074,3115.2955746,2022-04-29
1651251000,2022-04-29 16:50:00,BTC/USD,38622.84,38641.53,38585.32,38609.79,1.09334632,42213.8718124728,2022-04-29
1651250940,2022-04-29 16:49:00,BTC/USD,38592.35,38657.8,38592.35,38607.45,1.21493407,46905.5063608215,2022-04-29
1651250880,2022-04-29 16:48:00,BTC/USD,38573.37,38619.63,38573.37,38619.23,0.38959015,15045.671608584502,2022-04-29
1651250820,2022-04-29 16:47:00,BTC/USD,38614.37,38655.36,38556.92,38567.76,3.22570261,124408.1240938536,2022-04-29
1651250760,2022-04-29 16:46:00,BTC/USD,38590.21,38604.51,38518.73,38585.1,4.58995847,177104.006560797,2022-04-29
1651250700,2022-04-29 16:45:00,BTC/USD,38620.88,38620.88,38539.49,38590.21,2.38876438,92182.9190647198,2022-04-29
1651250640,2022-04-29 16:44:00,BTC/USD,38694.01,38694.01,38487.03,38530.81,48.61398357,1873136.164278792,2022-04-29
1651250580,2022-04-29 16:43:00,BTC/USD,38672.56,38702.15,38650.0,38702.15,0.15816652,6121.384382018,2022-04-29
1651250520,2022-04-29 16:42:00,BTC/USD,38736.96,38751.47,38700.0,38751.47,0.22107333,8566.9165152951,2022-04-29
1651250460,2022-04-29 16:41:00,BTC/USD,38786.15,38786.15,38706.87,38734.61,13.269104,513973.56848944,2022-04-29
1651250400,2022-04-29 16:40:00,BTC/USD,38852.45,38873.81,38780.02,38804.19,1.93548761,75105.0289610859,2022-04-29
1651250340,2022-04-29 16:39:00,BTC/USD,38898.28,38906.0,38853.13,38862.27,0.28755104,11174.886155260798,2022-04-29
