unix,date,symbol,open,high,low,close,Volume BCH,Volume USD,just_date
1651372200,2022-05-01 02:30:00,BCH/USD,277.85,277.85,277.85,277.85,0.0,0.0,2022-05-01
1651372140,2022-05-01 02:29:00,BCH/USD,277.85,277.85,277.85,277.85,0.0,0.0,2022-05-01
1651372080,2022-05-01 02:28:00,BCH/USD,277.85,277.85,277.85,277.85,1.293,359.26005000000004,2022-05-01
1651372020,2022-05-01 02:27:00,BCH/USD,278.61,278.61,278.61,278.61,0.0,0.0,2022-05-01
1651371960,2022-05-01 02:26:00,BCH/USD,278.61,278.61,278.61,278.61,0.0,0.0,2022-05-01
1651371900,2022-05-01 02:25:00,BCH/USD,278.61,278.61,278.61,278.61,0.0,0.0,2022-05-01
1651371840,2022-05-01 02:24:00,BCH/USD,278.61,278.61,278.61,278.61,0.0,0.0,2022-05-01
1651371780,2022-05-01 02:23:00,BCH/USD,278.61,278.61,278.61,278.61,0.202,56.27922000000001,2022-05-01
1651371720,2022-05-01 02:22:00,BCH/USD,278.25,278.25,278.25,278.25,0.0,0.0,2022-05-01
1651371660,2022-05-01 02:21:00,BCH/USD,278.32,278.32,278.25,278.25,0.338,94.0485,2022-05-01
1651371600,2022-05-01 02:20:00,BCH/USD,278.58,278.69,278.51,278.69,0.41597622,115.9284127518,2022-05-01
1651371540,2022-05-01 02:19:00,BCH/USD,278.11,278.11,278.11,278.11,0.0,0.0,2022-05-01
1651371480,2022-05-01 02:18:00,BCH/USD,278.11,278.11,278.11,278.11,0.0,0.0,2022-05-01
1651371420,2022-05-01 02:17:00,BCH/USD,278.11,278.11,278.11,278.11,0.0,0.0,2022-05-01
1651371360,2022-05-01 02:16:00,BCH/USD,278.11,278.11,278.11,278.11,0.0,0.0,2022-05-01
1651371300,2022-05-01 02:15:00,BCH/USD,278.11,278.11,278.11,278.11,0.185,51.45035,2022-05-01
1651371240,2022-05-01 02:14:00,BCH/USD,278.01,278.01,278.01,278.01,0.0,0.0,2022-05-01
1651371180,2022-05-01 02:13:00,BCH/USD,278.01,278.01,278.01,278.01,4.83,1342.7883,2022-05-01
1651371120,2022-05-01 02:12:00,BCH/USD,278.48,278.48,278.48,278.48,0.0,0.0,2022-05-01
1651371060,2022-05-01 02:11:00,BCH/USD,278.48,278.48,278.48,278.48,0.0,0.0,2022-05-01
1651371000,2022-05-01 02:10:00,BCH/USD,278.08,278.48,278.08,278.48,9.55657198,2661.3141649904,2022-05-01
1651370940,2022-05-01 02:09:00,BCH/USD,277.7,277.7,277.7,277.7,0.0,0.0,2022-05-01
1651370880,2022-05-01 02:08:00,BCH/USD,277.7,277.7,277.7,277.7,0.0,0.0,2022-05-01
1651370820,2022-05-01 02:07:00,BCH/USD,277.7,277.7,277.7,277.7,0.0,0.0,2022-05-01
1651370760,2022-05-01 02:06:00,BCH/USD,277.7,277.7,277.7,277.7,0.0,0.0,2022-05-01
1651370700,2022-05-01 02:05:00,BCH/USD,277.7,277.7,277.7,277.7,0.152,42.2104,2022-05-01
1651370640,2022-05-01 02:04:00,BCH/USD,277.93,277.93,277.93,277.93,0.973,270.42589,2022-05-01
1651370580,2022-05-01 02:03:00,BCH/USD,277.69,277.69,277.69,277.69,0.0,0.0,2022-05-01
1651370520,2022-05-01 02:02:00,BCH/USD,277.69,277.69,277.69,277.69,0.174,48.31806,2022-05-01
1651370460,2022-05-01 02:01:00,BCH/USD,277.68,277.75,277.68,277.75,0.389,108.04475,2022-05-01
1651370400,2022-05-01 02:00:00,BCH/USD,278.15,278.16,278.15,278.16,6.4,1780.2240000000002,2022-05-01
1651370340,2022-05-01 01:59:00,BCH/USD,277.94,277.94,277.94,277.94,0.0,0.0,2022-05-01
1651370280,2022-05-01 01:58:00,BCH/USD,277.94,277.94,277.94,277.94,0.0,0.0,2022-05-01
1651370220,2022-05-01 01:57:00,BCH/USD,277.94,277.94,277.94,277.94,0.0,0.0,2022-05-01
1651370160,2022-05-01 01:56:00,BCH/USD,277.94,277.94,277.94,277.94,0.177,49.19538,2022-05-01
1651370100,2022-05-01 01:55:00,BCH/USD,277.94,277.94,277.94,277.94,0.0,0.0,2022-05-01
1651370040,2022-05-01 01:54:00,BCH/USD,277.94,277.94,277.94,277.94,0.0,0.0,2022-05-01
1651369980,2022-05-01 01:53:00,BCH/USD,277.94,277.94,277.94,277.94,60.649,16856.78306,2022-05-01
1651369920,2022-05-01 01:52:00,BCH/USD,277.19,277.19,277.19,277.19,0.0,0.0,2022-05-01
1651369860,2022-05-01 01:51:00,BCH/USD,277.19,277.19,277.19,277.19,0.0,0.0,2022-05-01
1651369800,2022-05-01 01:50:00,BCH/USD,277.19,277.19,277.19,277.19,0.0,0.0,2022-05-01
1651369740,2022-05-01 01:49:00,BCH/USD,277.19,277.19,277.19,277.19,0.0,0.0,2022-05-01
1651369680,2022-05-01 01:48:00,BCH/USD,277.19,277.19,277.19,277.19,0.647,179.34193,2022-05-01
1651369620,2022-05-01 01:47:00,BCH/USD,276.14,276.14,276.14,276.14,0.0,0.0,2022-05-01
1651369560,2022-05-01 01:46:00,BCH/USD,276.14,276.14,276.14,276.14,0.0,0.0,2022-05-01
1651369500,2022-05-01 01:45:00,BCH/USD,276.14,276.14,276.14,276.14,0.0,0.0,2022-05-01
1651369440,2022-05-01 01:44:00,BCH/USD,276.14,276.14,276.14,276.14,0.0,0.0,2022-05-01
1651369380,2022-05-01 01:43:00,BCH/USD,276.14,276.14,276.14,276.14,0.0,0.0,2022-05-01
1651369320,2022-05-01 01:42:00,BCH/USD,275.73,276.14,275.73,276.14,4.233,1168.90062,2022-05-01
1651369260,2022-05-01 01:41:00,BCH/USD,275.39,275.39,275.39,275.39,0.154,42.41006,2022-05-01
1651369200,2022-05-01 01:40:00,BCH/USD,275.15,275.15,275.15,275.15,0.17072958,46.97624393699999,2022-05-01
1651369140,2022-05-01 01:39:00,BCH/USD,273.39,273.39,273.39,273.39,0.0,0.0,2022-05-01
1651369080,2022-05-01 01:38:00,BCH/USD,273.39,273.39,273.39,273.39,0.0,0.0,2022-05-01
1651369020,2022-05-01 01:37:00,BCH/USD,273.39,273.39,273.39,273.39,0.0,0.0,2022-05-01
1651368960,2022-05-01 01:36:00,BCH/USD,273.47,273.47,273.15,273.39,20.52935088,5612.519237083199,2022-05-01
1651368900,2022-05-01 01:35:00,BCH/USD,274.94,274.94,274.94,274.94,0.0,0.0,2022-05-01
1651368840,2022-05-01 01:34:00,BCH/USD,274.94,274.94,274.94,274.94,0.0,0.0,2022-05-01
1651368780,2022-05-01 01:33:00,BCH/USD,274.94,274.94,274.94,274.94,0.0,0.0,2022-05-01
1651368720,2022-05-01 01:32:00,BCH/USD,274.94,274.94,274.94,274.94,0.0,0.0,2022-05-01
1651368660,2022-05-01 01:31:00,BCH/USD,274.94,274.94,274.94,274.94,0.0,0.0,2022-05-01
1651368600,2022-05-01 01:30:00,BCH/USD,274.73,274.94,274.73,274.94,5.22,1435.1868,2022-05-01
1651368540,2022-05-01 01:29:00,BCH/USD,275.12,275.12,275.12,275.12,0.0,0.0,2022-05-01
1651368480,2022-05-01 01:28:00,BCH/USD,275.12,275.12,275.12,275.12,0.0,0.0,2022-05-01
1651368420,2022-05-01 01:27:00,BCH/USD,275.12,275.12,275.12,275.12,0.0,0.0,2022-05-01
1651368360,2022-05-01 01:26:00,BCH/USD,275.12,275.12,275.12,275.12,0.0,0.0,2022-05-01
1651368300,2022-05-01 01:25:00,BCH/USD,275.12,275.12,275.12,275.12,1.44e-06,0.0003961728,2022-05-01
1651368240,2022-05-01 01:24:00,BCH/USD,275.12,275.12,275.12,275.12,4.39877,1210.1896024,2022-05-01
1651368180,2022-05-01 01:23:00,BCH/USD,276.25,276.25,276.25,276.25,0.0,0.0,2022-05-01
1651368120,2022-05-01 01:22:00,BCH/USD,276.25,276.25,276.25,276.25,0.0,0.0,2022-05-01
1651368060,2022-05-01 01:21:00,BCH/USD,276.25,276.25,276.25,276.25,0.0,0.0,2022-05-01
1651368000,2022-05-01 01:20:00,BCH/USD,276.25,276.25,276.25,276.25,0.0,0.0,2022-05-01
1651367940,2022-05-01 01:19:00,BCH/USD,276.25,276.25,276.25,276.25,0.0,0.0,2022-05-01
1651367880,2022-05-01 01:18:00,BCH/USD,276.25,276.25,276.25,276.25,0.0,0.0,2022-05-01
1651367820,2022-05-01 01:17:00,BCH/USD,276.25,276.25,276.25,276.25,0.0,0.0,2022-05-01
1651367760,2022-05-01 01:16:00,BCH/USD,276.25,276.25,276.25,276.25,0.0,0.0,2022-05-01
1651367700,2022-05-01 01:15:00,BCH/USD,276.25,276.25,276.25,276.25,0.0,0.0,2022-05-01
1651367640,2022-05-01 01:14:00,BCH/USD,276.25,276.25,276.25,276.25,0.0,0.0,2022-05-01
1651367580,2022-05-01 01:13:00,BCH/USD,276.34,276.34,276.12,276.25,54.4272,15035.514,2022-05-01
1651367520,2022-05-01 01:12:00,BCH/USD,276.82,276.82,276.82,276.82,0.0,0.0,2022-05-01
1651367460,2022-05-01 01:11:00,BCH/USD,276.82,276.82,276.82,276.82,0.0,0.0,2022-05-01
1651367400,2022-05-01 01:10:00,BCH/USD,276.82,276.82,276.82,276.82,0.0,0.0,2022-05-01
1651367340,2022-05-01 01:09:00,BCH/USD,276.82,276.82,276.82,276.82,0.0,0.0,2022-05-01
1651367280,2022-05-01 01:08:00,BCH/USD,276.82,276.82,276.82,276.82,0.0,0.0,2022-05-01
1651367220,2022-05-01 01:07:00,BCH/USD,276.82,276.82,276.82,276.82,0.0,0.0,2022-05-01
1651367160,2022-05-01 01:06:00,BCH/USD,276.82,276.82,276.82,276.82,0.0,0.0,2022-05-01
1651367100,2022-05-01 01:05:00,BCH/USD,276.82,276.82,276.82,276.82,0.32,88.58239999999999,2022-05-01
1651367040,2022-05-01 01:04:00,BCH/USD,276.67,276.67,276.67,276.67,1.734,479.74578,2022-05-01
1651366980,2022-05-01 01:03:00,BCH/USD,276.57,276.57,276.57,276.57,0.0,0.0,2022-05-01
1651366920,2022-05-01 01:02:00,BCH/USD,276.57,276.57,276.57,276.57,0.0,0.0,2022-05-01
1651366860,2022-05-01 01:01:00,BCH/USD,276.57,276.57,276.57,276.57,0.0,0.0,2022-05-01
1651366800,2022-05-01 01:00:00,BCH/USD,276.57,276.57,276.57,276.57,0.0,0.0,2022-05-01
1651366740,2022-05-01 00:59:00,BCH/USD,276.57,276.57,276.57,276.57,0.0,0.0,2022-05-01
1651366680,2022-05-01 00:58:00,BCH/USD,276.57,276.57,276.57,276.57,0.0,0.0,2022-05-01
1651366620,2022-05-01 00:57:00,BCH/USD,276.57,276.57,276.57,276.57,0.403,111.45771,2022-05-01
1651366560,2022-05-01 00:56:00,BCH/USD,276.22,276.22,276.22,276.22,0.0,0.0,2022-05-01
1651366500,2022-05-01 00:55:00,BCH/USD,276.22,276.22,276.22,276.22,0.0,0.0,2022-05-01
1651366440,2022-05-01 00:54:00,BCH/USD,276.22,276.22,276.22,276.22,0.0,0.0,2022-05-01
1651366380,2022-05-01 00:53:00,BCH/USD,276.22,276.22,276.22,276.22,0.0,0.0,2022-05-01
1651366320,2022-05-01 00:52:00,BCH/USD,276.22,276.22,276.22,276.22,0.192,53.03424,2022-05-01
1651366260,2022-05-01 00:51:00,BCH/USD,276.21,276.21,276.21,276.21,0.158,43.64118,2022-05-01
1651366200,2022-05-01 00:50:00,BCH/USD,277.12,277.12,277.12,277.12,0.0,0.0,2022-05-01
1651366140,2022-05-01 00:49:00,BCH/USD,277.12,277.12,277.12,277.12,0.0,0.0,2022-05-01
1651366080,2022-05-01 00:48:00,BCH/USD,277.12,277.12,277.12,277.12,0.0,0.0,2022-05-01
1651366020,2022-05-01 00:47:00,BCH/USD,277.12,277.12,277.12,277.12,0.0,0.0,2022-05-01
1651365960,2022-05-01 00:46:00,BCH/USD,277.12,277.12,277.12,277.12,0.0,0.0,2022-05-01
1651365900,2022-05-01 00:45:00,BCH/USD,277.12,277.12,277.12,277.12,0.0,0.0,2022-05-01
1651365840,2022-05-01 00:44:00,BCH/USD,277.12,277.12,277.12,277.12,0.0,0.0,2022-05-01
1651365780,2022-05-01 00:43:00,BCH/USD,277.12,277.12,277.12,277.12,0.0,0.0,2022-05-01
1651365720,2022-05-01 00:42:00,BCH/USD,277.19,277.19,277.12,277.12,0.495,137.1744,2022-05-01
1651365660,2022-05-01 00:41:00,BCH/USD,277.33,277.33,277.26,277.26,0.419,116.17194,2022-05-01
1651365600,2022-05-01 00:40:00,BCH/USD,277.54,277.54,277.05,277.05,2.754,762.9957,2022-05-01
1651365540,2022-05-01 00:39:00,BCH/USD,276.72,276.72,276.72,276.72,0.0,0.0,2022-05-01
1651365480,2022-05-01 00:38:00,BCH/USD,276.72,276.72,276.72,276.72,0.0,0.0,2022-05-01
1651365420,2022-05-01 00:37:00,BCH/USD,276.58,276.73,276.58,276.72,8.69657445,2406.5160818040004,2022-05-01
1651365360,2022-05-01 00:36:00,BCH/USD,276.74,276.74,276.74,276.74,0.0,0.0,2022-05-01
1651365300,2022-05-01 00:35:00,BCH/USD,276.74,276.74,276.74,276.74,0.087,24.07638,2022-05-01
1651365240,2022-05-01 00:34:00,BCH/USD,276.13,276.13,276.13,276.13,1.9,524.6469999999999,2022-05-01
1651365180,2022-05-01 00:33:00,BCH/USD,276.77,276.77,275.93,275.93,2.826,779.77818,2022-05-01
1651365120,2022-05-01 00:32:00,BCH/USD,276.08,277.27,276.08,277.27,0.466,129.20782,2022-05-01
1651365060,2022-05-01 00:31:00,BCH/USD,275.46,275.47,275.46,275.47,5.79565461,1596.5289754167002,2022-05-01
